GymChain,ClubID,GymName,Address,CountyName,LocationScope,PlanName,PlanTerm,PriceType,DuesAmount,DuesFrequency,MonthlyEquivalent,InitiationFee,AnnualFee,EffectiveMonthlyCost,PromotionalDuesAmount,PromotionStatus,OfferExpiration,Status,SourceType,SourceURL,LocationURL,RetrievedAtUTC,Notes
LA Fitness,683,FT. Lauderdale - SE 10th Ave.,"1900 SE 10th Ave, Fort Lauderdale, FL 33316",Broward County,Official Florida club,Classic,,Standard advertised dues,29.99,Monthly,29.99,99.0,69.0,43.99,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=fHkbbxeBxgjbSnOp%2b5BcFA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,683,FT. Lauderdale - SE 10th Ave.,"1900 SE 10th Ave, Fort Lauderdale, FL 33316",Broward County,Official Florida club,Classic,,Standard advertised dues,39.99,Monthly,39.99,0.0,69.0,45.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=fHkbbxeBxgjbSnOp%2b5BcFA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,490,FT. Myers South-Gulf Center Dr,"10058 Gulf Center Drive, Ft. Myers, FL 33913",Lee County,Official Florida club,Basic,,Standard advertised dues,79.0,Monthly,79.0,199.0,69.0,101.33,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=J5CdUUCiwPiKcn5Pj8kaWA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Multi Club; State of Enrollment
LA Fitness,490,FT. Myers South-Gulf Center Dr,"10058 Gulf Center Drive, Ft. Myers, FL 33913",Lee County,Official Florida club,Classic,,Standard advertised dues,29.99,Monthly,29.99,99.0,69.0,43.99,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=J5CdUUCiwPiKcn5Pj8kaWA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,490,FT. Myers South-Gulf Center Dr,"10058 Gulf Center Drive, Ft. Myers, FL 33913",Lee County,Official Florida club,Classic,,Standard advertised dues,0.0,Monthly,0.0,0.0,0.0,0.0,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=J5CdUUCiwPiKcn5Pj8kaWA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: State of Enrollment
LA Fitness,714,Hialeah-Palmetto Expy,"1901 West 39th Street, Hialeah, FL 33012",Miami-Dade County,Official Florida club,Basic,,Standard advertised dues,29.99,Monthly,29.99,0.0,69.0,35.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=va1nvv9tEwLhwIxjFfuUuA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Club of Enrollment
LA Fitness,714,Hialeah-Palmetto Expy,"1901 West 39th Street, Hialeah, FL 33012",Miami-Dade County,Official Florida club,Classic,,Standard advertised dues,29.99,Monthly,29.99,99.0,69.0,43.99,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=va1nvv9tEwLhwIxjFfuUuA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,714,Hialeah-Palmetto Expy,"1901 West 39th Street, Hialeah, FL 33012",Miami-Dade County,Official Florida club,Classic,,Standard advertised dues,39.99,Monthly,39.99,0.0,69.0,45.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=va1nvv9tEwLhwIxjFfuUuA%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Nationwide Access
LA Fitness,631,Hialeah/W 49th St,"630 W 49th Street, Hialeah, FL 33012",Miami-Dade County,Official Florida club,Basic,,Standard advertised dues,29.99,Monthly,29.99,0.0,69.0,35.74,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=Mj47YZV44I5OrWjXTafbyg%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Club of Enrollment
LA Fitness,631,Hialeah/W 49th St,"630 W 49th Street, Hialeah, FL 33012",Miami-Dade County,Official Florida club,Classic,,Standard advertised dues,99.0,Monthly,99.0,199.0,69.0,121.33,,,,Observed,Official LA Fitness membership signup flow,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=Mj47YZV44I5OrWjXTafbyg%3d%3d,,2026-09-01T01:55:20.031707+00:00,Access: Multi Club; State of Enrollment
